date,orders,units,revenue,freight_value,avg_review_score,on_time_rate
2017-04-10,87,95,11732.31,1759.79,3.863,0.934783
2017-04-11,77,84,8296.51,1506.07,4.048,0.9375
2017-04-12,63,66,8209.20,1198.74,3.815,0.875
2017-04-13,60,64,9691.43,1522.50,4.143,0.921875
2017-04-14,53,60,8168.66,1363.70,3.8,0.907407
2017-04-15,52,55,8333.94,1057.62,3.964,0.884615
2017-04-16,49,52,5455.96,1058.84,3.942,0.88
2017-04-17,65,68,9416.67,1348.90,3.824,0.901639
2017-04-18,71,84,21286.72,2147.14,4.19,0.928571
2017-04-19,97,112,12103.46,1837.79,3.757,0.87037
2017-04-20,96,115,13373.14,2349.25,3.73,0.869159
2017-04-21,68,77,8457.71,1652.26,3.797,0.92
2017-04-22,83,94,12860.18,2005.23,4.117,0.946237
2017-04-23,86,91,10038.95,1642.37,4.056,0.88764
2017-04-24,115,135,15150.03,2561.55,3.791,0.904
2017-04-25,111,123,14671.74,2495.92,4.107,0.898305
2017-04-26,125,143,15919.75,2776.34,4.014,0.919118
2017-04-27,79,101,10300.71,2090.18,4.218,1.0
2017-04-28,98,108,15790.49,2272.80,3.972,0.913462
2017-04-29,73,86,11912.63,1774.39,3.919,0.975904
2017-04-30,68,71,8091.16,1345.84,4.127,0.956522
2017-05-01,116,131,12580.27,2216.50,3.969,0.944444
2017-05-02,125,136,17640.20,2667.57,4.126,0.93985
2017-05-03,102,111,10053.56,2082.82,4.153,0.927273
2017-05-04,108,122,13508.55,2305.41,4.289,0.983471
2017-05-05,110,123,13969.76,2372.75,3.902,0.982906
2017-05-06,107,127,16219.98,2372.82,4.254,0.98374
2017-05-07,109,120,17167.87,2556.55,4.034,0.981818
2017-05-08,122,143,16148.41,2874.25,4.387,0.95
2017-05-09,125,154,20837.05,3049.07,4.227,0.95302
2017-05-10,115,124,20927.49,2322.41,4.198,0.923077
2017-05-11,126,138,18164.55,3017.70,4.163,0.941176
2017-05-12,113,123,12635.71,2467.85,3.926,0.921053
