product_id,category,orders,units,sellers,revenue,avg_item_price,freight_ratio,avg_review_score,review_count,on_time_rate,latest_order
d21bf4652c855ccafcf94116891cc7ce,fashion_male_clothing,1,1,1,147.50,147.50,0.113831,1.0,1,1.0,2017-10-11 14:36:25
80a29790293a83b877cb353f5ae338e1,fashion_male_clothing,1,3,1,147.00,49.00,0.109592,5.0,3,1.0,2017-10-31 16:32:24
671ac7a60d975bd4ca2d7f7c77070210,fashion_shoes,2,2,1,146.72,73.36,0.357552,2.5,2,1.0,2017-06-03 00:08:15
37f05006248fc8b0d04270ef02d24406,fashion_bags_accessories,6,6,1,140.94,23.49,0.545693,3.333,6,0.8,2017-11-27 13:25:29
87ac7e3e844a79b97f7b98cecfbc69db,fashion_female_clothing,1,1,1,140.30,140.30,0.112117,5.0,1,1.0,2017-05-15 09:48:46
788a4c7f064e9ac6d3e9900512825aa5,fashion_bags_accessories,1,1,1,139.99,139.99,0.11958,1.0,1,1.0,2017-11-30 15:39:45
7384fb8f06ad25539cdc1f9f56d02947,fashion_bags_accessories,1,1,1,139.99,139.99,0.270662,5.0,1,1.0,2018-08-07 14:45:43
7a6a8e721213b9881cfcb60aaafcc3d3,fashion_shoes,1,1,1,139.99,139.99,0.100007,1.0,1,0,2017-07-26 13:39:14
566aaaec94561903dba698b1ff3cf459,fashion_bags_accessories,1,1,1,139.90,139.90,0.112437,5.0,1,1.0,2017-12-14 16:00:11
fa35b4bf358c776e80d08e8079dc1d4e,fashion_male_clothing,1,1,1,139.90,139.90,0.105289,5.0,1,1.0,2017-10-10 11:21:09
19ff2d1670779cdd13a453274509bc1c,fashion_male_clothing,1,1,1,139.90,139.90,0.058828,1.0,1,1.0,2017-08-01 14:44:38
418c8127e2810370323241e326874320,fashion_male_clothing,1,1,1,139.90,139.90,0.112437,1.0,1,1.0,2017-07-28 10:51:21
d40788ec5b01ba52711983b9c54b36e6,fashion_male_clothing,1,1,1,139.90,139.90,0.112437,5.0,1,1.0,2017-10-12 07:44:01
d368d485a71290394dddb034555b8eff,fashion_bags_accessories,1,1,1,139.90,139.90,0.114939,5.0,1,1.0,2018-07-27 10:11:30
be4271765ed350485cd8861c951500dc,fashion_bags_accessories,1,1,1,139.90,139.90,0.248606,4.0,1,1.0,2017-10-15 18:55:27
d2ba9fb97c0a861f8a62383c434e3e1d,fashion_male_clothing,2,2,1,139.80,69.90,0.230114,4.5,2,1.0,2017-12-04 21:31:08
80b5182ab2afa5091844c94a0106b843,fashion_bags_accessories,2,2,1,139.80,69.90,0.301645,4.5,2,1.0,2018-05-07 18:12:54
26eed370f5b5e551ed3a9854d522a65d,fashion_bags_accessories,2,2,1,139.80,69.90,0.206724,3.0,2,1.0,2017-08-06 12:19:52
8cf306b87f5f0832d70505004465e39f,fashion_male_clothing,2,2,1,139.80,69.90,0.176323,2.5,2,0.5,2017-09-14 22:05:38
97e778e5156560324ed3226e6dba3a5e,fashion_bags_accessories,2,2,1,139.80,69.90,0.141416,4.0,2,1.0,2018-01-07 21:28:13
48282b524c93e69ec5653481e2b8a237,fashion_bags_accessories,1,2,1,139.80,69.90,0.276681,4.0,2,1.0,2018-04-28 21:06:05
12ad279319eff927d9333b42f3382ff8,fashion_bags_accessories,2,2,1,139.80,69.90,0.159299,2.5,2,1.0,2018-02-27 20:58:09
6639a238ead6779d6ef0b3eea56f9f86,fashion_bags_accessories,4,4,1,139.60,34.90,0.565544,4.75,4,1.0,2018-05-08 11:17:38
e0a554e92afe71fd7f9380b7b135175b,fashion_bags_accessories,4,4,1,139.60,34.90,0.594484,4.25,4,1.0,2017-12-31 00:02:06
db338cc243c685a907b392a864bebe41,fashion_bags_accessories,1,1,1,139.00,139.00,0.309353,5.0,1,1.0,2017-12-24 17:42:20
6bae58cc7b604c823271ecb0f82de699,fashion_bags_accessories,1,1,1,137.77,137.77,0.485011,1.0,1,0,2018-03-23 17:02:33
9a442e31dcb07042eca00d73c1933880,fashion_bags_accessories,5,5,1,136.50,27.30,0.372381,4.0,5,0.6,2018-03-19 16:06:01
cebed2cb3b44b298e374ec88155024f6,fashion_bags_accessories,2,2,1,136.40,68.20,0.211877,4.0,2,1.0,2017-11-16 01:00:28
05216a143a65ab59fc48fb996e7c12d7,fashion_bags_accessories,2,2,1,135.60,67.80,0.176549,4.0,2,1.0,2017-11-26 14:31:13
f177554ea93259a5b282f24e33f65ab6,fashion_bags_accessories,2,3,1,135.00,45.00,0.211407,5.0,3,0.666667,2018-07-27 17:21:27
c81ae6207142d6d844dfe928e7e51b04,fashion_bags_accessories,1,1,1,133.00,133.00,0.117895,1.0,1,1.0,2017-12-26 02:35:27
3ac233805cb3141450d80bfc775929e3,fashion_bags_accessories,1,1,1,132.00,132.00,0.118712,4.0,1,1.0,2017-07-07 13:18:22
e19c8e70d39de9646d64163a66051797,fashion_male_clothing,1,1,1,131.00,131.00,0.127328,4.0,1,1.0,2017-07-22 10:08:37
348ea09800ea8b415f488cef882bb755,fashion_male_clothing,1,1,1,131.00,131.00,0.127328,4.0,1,1.0,2017-07-22 10:08:37
99bec487c37782c9e5e20d455970f5f2,fashion_male_clothing,1,1,1,131.00,131.00,0.209618,1.0,1,1.0,2017-08-17 21:12:14
df892547f0d5bb0c35cf26abc8e93d8d,fashion_bags_accessories,2,2,1,130.00,65.00,0.177077,4.5,2,1.0,2017-11-21 19:54:27
15f47d3a8c0c553dc9aba3d2d5dc88c3,fashion_bags_accessories,1,1,1,129.99,129.99,0.139703,5.0,1,1.0,2017-07-13 11:47:03
9d47dddcc5eb825534e212b1b927385f,fashion_male_clothing,1,1,1,129.99,129.99,0.21117,5.0,1,1.0,2017-08-14 22:12:29
591f652fcfefc35a0e6f10b0371a63e1,fashion_bags_accessories,1,1,1,129.99,129.99,0.062774,1.0,1,0,2017-11-16 15:14:07
e40c9663823a220588b8f0c552ff5c03,fashion_male_clothing,1,1,1,129.99,129.99,0.185091,5.0,1,1.0,2018-08-17 19:11:20
751a90669988d4888aa82a198870ca47,fashion_bags_accessories,1,1,1,129.99,129.99,0.093161,1.0,1,0,2017-09-14 22:31:36
4c4a683ed26e07635c1be832f48df0ae,fashion_bags_accessories,1,1,1,129.99,129.99,0.12401,5.0,1,1.0,2017-02-09 16:01:21
e189be46c3e52f23ebe8a520e59d2c46,fashion_male_clothing,1,1,1,129.99,129.99,0.152935,5.0,1,1.0,2018-05-11 19:37:43
7b9b39b222adc797a65032aea85e3395,fashion_male_clothing,1,1,1,129.99,129.99,0.108162,4.0,1,1.0,2017-08-21 22:16:13
35e2ccd07a55da4eaf8c613e6d8c92c4,fashion_bags_accessories,3,3,1,129.97,43.32,0.308148,4.667,3,1.0,2017-08-16 10:50:18
9c3e26b41db239c14312aeaeb1e2abc9,fashion_bags_accessories,1,1,1,129.90,129.90,0.129946,4.0,1,1.0,2018-03-21 17:17:47
b8d157185e5abaabd9244275aca22a7f,fashion_bags_accessories,2,2,1,129.80,64.90,0.219106,4.5,2,1.0,2018-01-07 21:07:17
3a8320b027e8c8359d0a326844bc03e1,fashion_bags_accessories,1,1,1,129.00,129.00,0.165116,4.0,1,1.0,2017-11-22 17:20:48
c07f064fdcfd7e6c865fa295be464196,fashion_bags_accessories,2,2,1,128.80,64.40,0.239752,5.0,2,1.0,2018-07-22 22:47:43
3eda91c4ed75e3ce93482a5eed64868d,fashion_male_clothing,1,1,1,127.90,127.90,0.130258,5.0,1,1.0,2017-10-03 08:30:39
1dfa1d1603b10b073093775015d0fc74,fashion_male_clothing,1,1,1,126.90,126.90,0.253822,5.0,1,1.0,2017-01-21 22:41:08
4e46d4d7bdbc358eee60e44df825dd01,fashion_bags_accessories,3,3,1,125.00,41.67,0.32,4.667,3,1.0,2018-08-23 14:59:37
f7dd5959f7e2832eb2acbfd9c2e2af19,fashion_bags_accessories,1,1,1,121.90,121.90,0.12904,4.0,1,1.0,2018-06-11 12:23:40
bcdebacf985da0fae4e1f55f1aba7562,fashion_bags_accessories,1,1,1,120.00,120.00,0.15825,5.0,1,1.0,2018-07-23 19:56:39
e8980f13841769bf1770127583697d59,fashion_bags_accessories,2,2,1,120.00,60.00,0.278917,4.5,2,1.0,2018-04-19 19:03:33
fcdebbb6946ae0ff528fe189ad53de46,fashion_bags_accessories,1,1,1,119.99,119.99,0.161513,1.0,1,0,2017-11-20 11:46:03
79cb68c2ccd94a4da825b9e33adf0697,fashion_bags_accessories,3,3,1,119.97,39.99,0.509294,4.0,3,1.0,2017-12-27 15:35:25
4965fd68b4fa0cab5fca575c3b4f4b73,fashion_bags_accessories,3,3,1,119.97,39.99,0.306243,4.667,3,1.0,2018-05-22 20:08:06
57bdf3098169cccdb62221bd3e089cbd,fashion_childrens_clothes,3,3,1,119.97,39.99,0.255731,5.0,3,1.0,2018-03-21 09:40:36
a4f46aac5fc5e88c9701aa860c2a957c,fashion_bags_accessories,1,1,1,119.90,119.90,0.109925,5.0,1,1.0,2017-05-28 11:13:23
18344238d9024a2e2f3f549d5ab1fadc,fashion_bags_accessories,1,1,1,119.90,119.90,0.147456,3.0,1,1.0,2017-03-23 12:31:36
71ff103df4589cc0b353dfb0f6777037,fashion_bags_accessories,1,1,1,119.90,119.90,0.115596,5.0,1,1.0,2017-07-12 08:58:21
09061028f7ee991c6f2c294e19d344dd,fashion_bags_accessories,2,2,1,119.80,59.90,0.187062,2.5,2,1.0,2017-05-22 23:44:38
36d74b6f7d7c0e188328c310f9d9896e,fashion_bags_accessories,2,2,1,119.80,59.90,0.143239,5.0,2,1.0,2018-08-01 13:42:49
f4c9a2926d5a2fe099ebbe7d0967bd37,fashion_bags_accessories,3,3,1,119.70,39.90,0.317293,4.0,3,1.0,2018-01-11 20:04:57
0e90009c14c8245b4ec2646c22ca8b7d,fashion_shoes,1,1,1,119.40,119.40,0.100838,5.0,1,1.0,2017-10-15 11:29:31
69530f4ebf4b017348e5f19323ab8a00,fashion_female_clothing,1,1,1,119.00,119.00,0.12605,5.0,1,1.0,2017-02-10 15:43:45
fb614bd62b359254bbf6f7c28b34e65c,fashion_bags_accessories,1,1,1,118.90,118.90,0.157359,5.0,1,1.0,2018-05-09 13:54:21
7a7416293b9692d84c900dda5e63c607,fashion_bags_accessories,1,1,1,118.60,118.60,0.068212,5.0,1,1.0,2017-12-05 08:28:27
96bbf32ba8cc8686a26742f4ede4aa34,fashion_bags_accessories,1,1,1,117.90,117.90,0.081764,5.0,1,1.0,2017-10-13 10:45:08
640dcd3e549f736cd39e1f943ff14c3b,fashion_bags_accessories,5,5,1,115.95,23.19,0.730142,4.8,5,1.0,2018-08-19 13:40:36
edb0a8739ce7457ff4767a85d6aa92e2,fashion_female_clothing,1,1,1,115.00,115.00,0.143565,1.0,1,1.0,2017-02-26 16:03:49
b736ba4727efeae1f506172be7e39905,fashion_bags_accessories,2,2,1,114.00,57.00,0.229474,4.5,2,1.0,2018-01-15 20:27:50
793dc6416cb7c57351e27eec5ee69f5b,fashion_shoes,2,2,1,113.60,56.80,0.298768,4.5,2,1.0,2018-02-19 17:20:09
76f71ec385ad031b06d5ad8be0440260,fashion_shoes,2,2,1,113.60,56.80,0.291637,5.0,2,1.0,2017-12-01 10:46:18
65330e90e0019aa477e442b9b8e156a1,fashion_male_clothing,1,1,1,110.90,110.90,0.158882,5.0,1,1.0,2017-02-25 14:20:03
28ac6af4008a402e5039f3e042a36e13,fashion_childrens_clothes,1,1,1,110.00,110.00,0.081455,5.0,1,1.0,2017-06-08 16:46:33
0ab3ab3b2869073aa9afe795fe9151aa,fashion_childrens_clothes,1,1,1,110.00,110.00,0.132,5.0,1,1.0,2017-05-17 17:44:34
da02ed24d3cfd1ef9e90a96964a72cba,fashion_bags_accessories,2,2,1,109.98,54.99,0.245863,4.5,2,1.0,2018-08-19 18:39:49
