category,scope,orders,units,products,sellers,customers,revenue,avg_item_price,freight_value,freight_ratio,avg_review_score,review_count,on_time_rate,late_delivery_rate,cancelled_line_rate,latest_order
christmas_supplies,other,128,153,65,17,128,8800.82,57.52,3229.30,0.366932,4.021,146,0.88,0.12,0.006536,2018-08-19 11:52:24
tablets_printing_image,other,79,83,9,6,79,7528.41,90.70,1226.20,0.162876,4.123,81,0.927711,0.072289,0.0,2018-06-09 13:39:44
cine_photo,other,65,72,28,14,65,6933.46,96.30,1256.20,0.181179,4.194,72,0.928571,0.071429,0.0,2018-08-25 17:52:00
music,other,38,38,27,19,38,6034.35,158.80,690.51,0.11443,4.211,38,0.921053,0.078947,0.0,2018-08-19 12:40:19
dvds_blu_ray,other,59,64,48,10,59,5999.39,93.74,1288.74,0.214812,4.079,63,0.934426,0.065574,0.03125,2018-08-23 13:56:52
books_imported,other,53,60,31,7,53,4639.85,77.33,769.85,0.165921,4.4,60,0.964912,0.035088,0.0,2018-08-07 10:52:58
party_supplies,other,39,43,26,12,39,4485.18,104.31,827.97,0.184601,3.767,43,0.952381,0.047619,0.0,2018-08-29 14:52:00
furniture_mattress_and_upholstery,other,38,38,10,5,38,4368.08,114.95,1630.46,0.373267,3.816,38,0.864865,0.135135,0.0,2018-07-03 21:56:54
portateis_cozinha_e_preparadores_de_alimentos,other,14,15,10,5,14,3968.53,264.57,309.76,0.078054,3.267,15,0.928571,0.071429,0.066667,2018-08-27 12:41:49
fashion_female_clothing,fashion,39,48,27,11,39,2803.64,58.41,621.75,0.221765,3.781,48,0.933333,0.066667,0.0,2018-08-22 09:43:46
fashion_sport,fashion,27,30,19,10,27,2119.51,70.65,578.13,0.272766,4.233,30,0.931034,0.068966,0.0,2018-08-19 20:46:26
la_cuisine,other,13,14,10,2,13,2054.99,146.78,333.55,0.162312,4.0,13,1.0,0.0,0.0,2018-04-17 21:01:58
arts_and_craftmanship,other,23,24,19,13,23,1814.01,75.58,370.13,0.20404,4.125,24,0.916667,0.083333,0.0,2018-08-24 12:41:33
diapers_and_hygiene,other,27,39,12,8,27,1567.59,40.19,573.68,0.365963,3.256,39,0.972973,0.027027,0.025641,2018-08-26 14:17:08
pc_gamer,other,8,9,3,2,8,1545.95,171.77,133.57,0.0864,3.333,9,1.0,0.0,0.111111,2018-08-18 22:35:15
flowers,other,29,33,14,3,29,1110.04,33.64,488.87,0.440408,4.419,31,0.969697,0.030303,0.0,2018-07-19 01:00:07
home_comfort_2,other,24,30,5,4,24,760.27,25.34,410.31,0.53969,3.63,27,0.833333,0.166667,0.0,2018-07-28 14:44:00
cds_dvds_musicals,other,12,14,1,1,12,730.00,52.14,224.99,0.308205,4.643,14,1.0,0.0,0.0,2018-04-20 11:30:06
fashion_childrens_clothes,fashion,8,8,5,4,8,569.85,71.23,95.51,0.167606,4.5,8,1.0,0.0,0.0,2018-06-03 22:34:58
security_and_services,other,2,2,2,2,2,283.29,141.64,41.22,0.145505,2.5,2,1.0,0.0,0.0,2017-09-17 16:51:43
